rank,title,date,duration,rating
1,Die Verurteilten,1994,2h 22m,9.3
2,Der Pate,1972,2h 55m,9.2
3,The Dark Knight,2008,2h 32m,9.0
4,Der Pate 2,1974,3h 22m,9.0
5,Die zwölf Geschworenen,1957,1h 36m,9.0
6,Der Herr der Ringe: Die Rückkehr des Königs,2003,3h 21m,9.0
7,Schindlers Liste,1993,3h 15m,9.0
8,Pulp Fiction,1994,2h 34m,8.9
9,Der Herr der Ringe: Die Gefährten,2001,2h 58m,8.9
10,Zwei glorreiche Halunken,1966,2h 41m,8.8
11,Forrest Gump,1994,2h 22m,8.8
12,Der Herr der Ringe: Die zwei Türme,2002,2h 59m,8.8
13,Fight Club,1999,2h 19m,8.8
14,Inception,2010,2h 28m,8.8
15,Star Wars: Episode V - Das Imperium schlägt zurück,1980,2h 4m,8.7
16,Matrix,1999,2h 16m,8.7
17,GoodFellas - Drei Jahrzehnte in der Mafia,1990,2h 25m,8.7
18,Einer flog über das Kuckucksnest,1975,2h 13m,8.7
19,Interstellar,2014,2h 49m,8.7
20,Sieben,1995,2h 7m,8.6
21,Ist das Leben nicht schön?,1946,2h 10m,8.6
22,Die sieben Samurai,1954,3h 27m,8.6
23,Das Schweigen der Lämmer,1991,1h 58m,8.6
24,Der Soldat James Ryan,1998,2h 49m,8.6
25,City of God,2002,2h 10m,8.6
